Index,Category,Savings,PriceMean,PriceTotal,Items
0,MEAT,0.6980000000000001,11.77,58.85,BNLS CC PORK CHP • PERD BRST TNDRS • SB SLC BACON 162 • SC 90%LERN GRBF • SC 90% BEEF 162
1,PRODUCE,0.3288888888888889,6.327777777777778,56.95,CAULIFLOWER 9CT • CELLO LETTUCE 2 • ILB BABY PLD CAR • NP ORG FUJI 31B • POTATOES • BROCCOLI CROWNS • MANDARINS 31B • EX LRG TOMATOES  • RED SOLS GRAPES
2,GROCERY,0.29555555555555557,4.601111111111112,41.410000000000004,RhOS ELBOW 162 • RMS PENNE 162 • SB FLOUR ALL 51B • NP OG CRY PN BUT • NP FF ALM BTR 12 • NMITLNSSG8PPR24Z • NUMN SAU 23.5Z • SB SALTINES • MCVT MLK CHO DIG
3,FROZEN FOOD,0.0,0.0,0.0,
4,BAKERY - COMMERCIAL,0.0,3.29,6.58,SB HAMBURGER ROL p/ • DAVE BAGEL 16.752 
5,BAKE SHOP,0.0,3.0,6.0,12 GLAZED DONUTS • DNT HORS ASSORT
6,PREPARED FOODS,0.0,0.0,0.0,
7,DAIRY,0.0,2.29,2.29,SB UT PRVLN 7.62
8,GENERAL MERCHANDISE,0.0,0.0,0.0,
9,HEALTH AND BEAUTY CARE,0.0,0.0,0.0,
10,DELI,0.0,0.0,0.0,
