Index,Category,Savings,PriceMean,PriceTotal,Items
0,MEAT,0.0,20.01,140.07000000000002,PERD TS RST BRST • TH FRMS LAMB 1LB • OM BACON SLC 16Z • .SHBF 85% TRKY • HTFD SWT ITL 16Z • NP BLSKL CHKTHGH • CHORIZO LINK 16Z
1,PRODUCE,0.2658333333333333,5.157500000000001,61.89000000000001,BROCCOLI CROWNS • HALOMANDARIN 2LB • SW GARLIC 9.5Z • .HASS AVOCADOS • CABBAGE CELERY • GRN SDLS GRAPES • CELLO LETTUCE 24 • SCALLIONS • .ORG CRIPPS PINK • ONION RED • BLUEBERRIES 18Z • SWEET ITLN SSG
2,GROCERY,0.15999999999999998,4.274285714285715,59.84000000000001,BONE NAM STW PRE • SB SOY SCE 10Z • SUN LUCK SESME O • DRMFLD SPAGHETTI • RAOS ELBOW 16Z • KAME STRFRYHKN N • CF ORG GRAN14.6Z • CHICHI BURRITO • PASTA SAUCE TMBS • NP SNFLWR BTR16Z • NWMN SAU 23.5Z • NMITLNSSG&PPR24Z • NP OG CRY PN BUT • SB GRAPE JELLY
3,FROZEN FOOD,0.0,3.29,3.29,TK HL IC 48Z
4,BAKERY - COMMERCIAL,0.0,0.0,0.0,
5,BAKE SHOP,0.0,0.0,0.0,
6,PREPARED FOODS,0.0,0.0,0.0,
7,DAIRY,0.10874999999999999,4.53875,36.31,SB JUMBO EGGS • FNCY SHR PARM CH • FNCY 4 CHS MEX • SB OJW/PL100%52Z • NP STRNG CHS 6Z • PHIL SFT CRM CHS • IWS 2% RF SNGLS • SB WHOLE MILK
8,GENERAL MERCHANDISE,0.0,0.0,0.0,
9,HEALTH AND BEAUTY CARE,0.0,0.0,0.0,
10,DELI,0.0,0.0,0.0,
